,timestamp,likeable,surprising,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,age,gender,edu,group
0,2019/01/10 11:13:00 AM EST,7.0,3.0,-88.0,15.0,1.0,15.0,33.0,-80.0,-33.0,58.0,-50.0,33.0,27.0,m,4yr,0
1,2019/01/10 11:32:59 AM EST,4.0,5.0,-30.0,30.0,1.0,14.0,10.0,-50.0,-5.0,51.0,-30.0,10.0,18.0,m,high,0
2,2019/01/10 11:33:55 AM EST,3.0,3.0,-85.0,20.0,3.0,35.0,36.0,-86.0,100.0,50.0,-30.0,300.0,21.0,m,high,0
3,2019/01/10 11:34:50 AM EST,7.0,3.0,-88.0,30.0,1.0,15.0,30.0,-88.0,-33.0,56.0,-51.0,300.0,45.0,m,4yr,0
4,2019/01/10 11:35:08 AM EST,7.0,7.0,-86.0,32.0,1.0,26.0,32.0,-36.0,16.0,56.0,-17.0,40.0,17.0,m,none,0
5,2019/01/10 11:35:25 AM EST,5.0,4.0,-50.0,20.0,1.0,40.0,30.0,-66.0,-30.0,60.0,-40.0,20.0,25.0,m,4yr,0
6,2019/01/10 11:35:48 AM EST,7.0,5.0,-80.0,-20.0,1.0,20.0,60.0,-84.0,-40.0,80.0,-30.0,-60.0,38.0,none,high,0
7,2019/01/10 11:35:49 AM EST,6.0,3.0,-50.0,300.0,1.0,15.0,15.0,85.0,-30.0,56.0,-15.0,300.0,32.0,f,phd,0
8,2019/01/10 11:35:57 AM EST,8.0,6.0,-88.0,25.0,1.0,15.0,32.0,94.0,-33.0,56.0,-52.0,302.0,17.0,nb,grade,0
9,2019/01/10 11:36:26 AM EST,3.0,6.0,88.0,25.0,1.0,15.0,32.0,88.0,55.0,53.0,-50.0,302.0,23.0,none,4yr,0
10,2019/01/10 11:36:37 AM EST,7.0,7.0,-88.0,302.0,1.0,15.0,20.0,-17.0,-20.0,50.0,-50.0,302.0,19.0,m,high,0
11,2019/01/10 11:36:52 AM EST,6.0,7.0,-88.0,300.0,1.0,15.0,33.0,-90.0,-33.0,55.0,-50.0,300.0,25.0,m,4yr,0
12,2019/01/10 11:36:56 AM EST,7.0,9.0,-83.0,25.0,3.0,16.0,34.0,84.0,-34.0,52.0,-15.0,302.0,17.0,m,high,0
13,2019/01/10 11:37:04 AM EST,3.0,3.0,-89.0,10.0,1.0,15.0,30.0,-49.0,-15.0,56.0,-50.0,302.0,41.0,m,masters,0
14,2019/01/10 11:37:08 AM EST,3.0,6.0,-85.0,35.0,1.0,15.0,35.0,-60.0,-20.0,56.0,20.0,32.0,20.0,none,high,0
15,2019/01/10 11:37:09 AM EST,4.0,6.0,-83.0,52.0,1.0,33.0,32.0,-10.0,10.0,56.0,-52.0,50.0,26.0,m,phd,0
16,2019/01/10 11:37:19 AM EST,7.0,6.0,-38.0,35.0,1.0,15.0,38.0,-35.0,-86.0,56.0,-51.0,302.0,28.0,f,4yr,0
17,2019/01/10 11:37:26 AM EST,6.0,3.0,0.0,300.0,1.0,20.0,30.0,-80.0,-30.0,50.0,-50.0,300.0,31.0,m,masters,0
18,2019/01/10 11:37:53 AM EST,7.0,2.0,-38.0,40.0,1.0,8.0,26.0,-83.0,-32.0,58.0,-40.0,60.0,36.0,m,grade,0
19,2019/01/10 11:37:59 AM EST,7.0,7.0,-90.0,15.0,1.0,15.0,32.0,-84.0,-33.0,54.0,-50.0,300.0,21.0,m,high,0
20,2019/01/10 11:38:06 AM EST,7.0,3.0,-70.0,300.0,1.0,32.0,30.0,-500.0,-30.0,45.0,-18.0,30.0,22.0,m,4yr,0
21,2019/01/10 11:38:17 AM EST,9.0,8.0,-32.0,325.0,1.0,15.0,33.0,-82.0,-20.0,52.0,-46.0,302.0,40.0,m,4yr,0
22,2019/01/10 11:38:38 AM EST,7.0,2.0,-86.0,25.0,1.0,15.0,32.0,-86.0,-33.0,51.0,-51.0,302.0,36.0,m,masters,0
23,2019/01/10 11:38:48 AM EST,8.0,5.0,-88.0,50.0,1.0,15.0,33.0,80.0,-30.0,56.0,-51.0,302.0,,none,none,0
24,2019/01/10 11:38:51 AM EST,7.0,3.0,-85.0,25.0,1.0,15.0,33.0,-85.0,0.0,52.0,0.0,302.0,32.0,m,4yr,0
25,2019/01/10 11:39:11 AM EST,4.0,2.0,-300.0,0.0,1.0,0.0,20.0,-84.0,-3.0,56.0,-25.0,0.0,32.0,m,phd,0
26,2019/01/10 11:39:36 AM EST,5.0,3.0,-80.0,100.0,1.0,10.0,36.0,-30.0,15.0,55.0,-50.0,300.0,23.0,m,4yr,0
27,2019/01/10 11:39:45 AM EST,6.0,5.0,-70.0,25.0,1.0,20.0,27.0,-70.0,-25.0,56.0,-50.0,402.0,17.0,m,high,0
28,2019/01/10 11:40:13 AM EST,5.0,4.0,30.0,20.0,1.0,15.0,31.0,-82.0,30.0,56.0,-51.0,302.0,34.0,m,masters,0
29,2019/01/10 11:42:06 AM EST,5.0,2.0,-80.0,300.0,1.0,15.0,50.0,-84.0,-30.0,55.0,0.0,150.0,20.0,m,high,0
30,2019/01/10 11:42:32 AM EST,10.0,10.0,88.0,85.0,1.0,15.0,35.0,-75.0,33.0,35.0,-50.0,300.0,24.0,m,4yr,0
31,2019/01/10 11:43:05 AM EST,4.0,6.0,88.0,25.0,1.0,14.0,32.0,-84.0,-50.0,56.0,-51.0,302.0,37.0,m,masters,0
32,2019/01/10 11:43:13 AM EST,6.0,7.0,-80.0,-30.0,5.0,20.0,60.0,-60.0,10.0,50.0,-50.0,300.0,24.0,m,4yr,0
33,2019/01/10 11:43:17 AM EST,8.0,6.0,-88.0,20.0,1.0,15.0,34.0,-60.0,-50.0,70.0,-50.0,302.0,37.0,m,phd,0
34,2019/01/10 11:43:30 AM EST,7.0,7.0,-45.0,5.0,1.0,30.0,32.0,-80.0,33.0,55.0,-30.0,5.0,21.0,m,4yr,0
35,2019/01/10 11:44:12 AM EST,9.0,4.0,-84.0,25.0,1.0,15.0,33.0,-84.0,0.0,58.0,-50.0,302.0,27.0,m,masters,0
36,2019/01/10 11:45:16 AM EST,3.0,1.0,20.0,0.0,1.0,0.0,0.0,-60.0,0.0,20.0,-51.0,306.0,39.0,f,phd,0
37,2019/01/10 11:45:43 AM EST,6.0,1.0,80.0,150.0,1.0,20.0,30.0,60.0,30.0,50.0,40.0,300.0,21.0,m,grade,0
38,2019/01/10 11:46:32 AM EST,4.0,2.0,-88.0,88.0,1.0,5.0,3.0,0.0,0.0,56.0,-51.0,308.0,20.0,f,high,0
39,2019/01/10 11:46:33 AM EST,7.0,2.0,-30.0,20.0,1.0,15.0,15.0,-70.0,-20.0,56.0,-30.0,30.0,24.0,m,high,0
40,2019/01/10 11:46:56 AM EST,4.0,2.0,-80.0,306.0,1.0,15.0,0.0,-84.0,-30.0,56.0,51.0,25.0,29.0,none,masters,0
41,2019/01/10 11:47:31 AM EST,6.0,8.0,-88.0,32.0,1.0,15.0,30.0,-82.0,-30.0,56.0,-52.0,30.0,23.0,m,4yr,0
42,2019/01/10 11:47:49 AM EST,3.0,9.0,-82.0,18.0,1.0,18.0,32.0,-82.0,-31.0,56.0,-2.0,302.0,43.0,m,masters,0
43,2019/01/10 11:48:33 AM EST,9.0,7.0,-88.0,25.0,1.0,15.0,32.0,-88.0,-15.0,56.0,-50.0,302.0,36.0,m,phd,0
44,2019/01/10 11:48:50 AM EST,8.0,6.0,-88.0,25.0,1.0,34.0,34.0,-84.0,-33.0,56.0,-25.0,302.0,29.0,m,masters,0
45,2019/01/10 11:48:54 AM EST,8.0,4.0,-85.0,25.0,1.0,15.0,33.0,-75.0,-33.0,51.0,-51.0,304.0,24.0,m,4yr,0
46,2019/01/10 11:51:39 AM EST,5.0,7.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,none,none,0
47,2019/01/10 11:52:15 AM EST,3.0,7.0,-50.0,30.0,1.0,15.0,30.0,-84.0,15.0,56.0,-50.0,22.0,40.0,m,masters,0
48,2019/01/10 11:53:48 AM EST,8.0,7.0,-88.0,25.0,1.0,15.0,10.0,-80.0,-30.0,56.0,-52.0,300.0,32.0,m,masters,0
49,2019/01/10 11:55:13 AM EST,10.0,7.0,-70.0,25.0,1.0,15.0,32.0,-83.0,-1.0,56.0,-53.0,200.0,33.0,m,masters,0
50,2019/01/10 11:57:09 AM EST,7.0,8.0,-88.0,200.0,1.0,15.0,35.0,-52.0,-53.0,73.0,-18.0,300.0,32.0,none,masters,0
51,2019/01/10 11:57:50 AM EST,4.0,3.0,-50.0,50.0,1.0,25.0,58.0,-50.0,39.0,51.0,-51.0,302.0,34.0,m,phd,0
52,2019/01/10 11:58:38 AM EST,4.0,5.0,-80.0,52.0,1.0,16.0,32.0,-88.0,-55.0,56.0,-50.0,302.0,21.0,none,high,0
53,2019/01/10 11:59:10 AM EST,8.0,2.0,-80.0,20.0,1.0,15.0,20.0,-80.0,-15.0,50.0,-50.0,300.0,23.0,m,masters,0
54,2019/01/10 12:00:55 PM EST,6.0,8.0,-88.0,30.0,1.0,30.0,34.0,-84.0,-30.0,54.0,-50.0,302.0,33.0,f,masters,0
55,2019/01/10 12:01:50 PM EST,8.0,6.0,-88.0,105.0,3.0,15.0,32.0,-45.0,-20.0,56.0,-55.0,302.0,32.0,f,phd,0
56,2019/01/10 12:05:39 PM EST,8.0,3.0,-65.0,302.0,1.0,15.0,32.0,-60.0,-31.0,56.0,-50.0,302.0,30.0,m,phd,0
57,2019/01/10 12:07:28 PM EST,7.0,7.0,-91.0,350.0,1.0,15.0,35.0,-90.0,-15.0,51.0,-84.0,350.0,30.0,m,4yr,0
58,2019/01/10 12:08:08 PM EST,5.0,5.0,-50.0,-88.0,1.0,15.0,32.0,-80.0,50.0,52.0,-50.0,-30.0,34.0,m,masters,0
59,2019/01/10 12:08:15 PM EST,9.0,5.0,88.0,25.0,1.0,30.0,35.0,84.0,50.0,54.0,51.0,302.0,31.0,m,4yr,0
60,2019/01/10 12:11:09 PM EST,9.0,3.0,88.0,302.0,1.0,15.0,6.0,84.0,19.0,12.0,51.0,302.0,21.0,none,high,0
61,2019/01/10 12:11:13 PM EST,6.0,5.0,-70.0,25.0,1.0,15.0,32.0,-30.0,-30.0,56.0,-30.0,300.0,26.0,m,4yr,0
62,2019/01/10 12:15:59 PM EST,7.0,1.0,10.0,20.0,1.0,17.0,40.0,1.0,40.0,45.0,33.0,300.0,24.0,m,2yr,0
63,2019/01/10 12:16:24 PM EST,7.0,4.0,-88.0,30.0,1.0,15.0,32.0,-80.0,-33.0,56.0,-51.0,302.0,35.0,f,phd,0
64,2019/01/10 12:18:10 PM EST,8.0,3.0,-50.0,302.0,1.0,36.0,15.0,-80.0,-30.0,50.0,-50.0,0.0,30.0,f,phd,0
65,2019/01/10 12:19:08 PM EST,3.0,4.0,-80.0,32.0,1.0,15.0,36.0,-84.0,-33.0,56.0,-56.0,302.0,28.0,nb,masters,0
66,2019/01/10 12:19:38 PM EST,7.0,3.0,-20.0,-33.0,1.0,36.0,36.0,-88.0,-10.0,52.0,-52.0,82.0,48.0,m,masters,0
67,2019/01/10 12:23:21 PM EST,8.0,9.0,18.0,302.0,1.0,25.0,6.0,2.0,16.0,56.0,32.0,302.0,17.0,m,high,0
68,2019/01/10 12:24:39 PM EST,3.0,5.0,88.0,0.0,1.0,15.0,33.0,0.0,0.0,56.0,-53.0,0.0,33.0,f,4yr,0
69,2019/01/10 12:25:33 PM EST,2.0,3.0,-50.0,0.0,1.0,10.0,33.0,-84.0,-30.0,54.0,-50.0,300.0,20.0,none,high,0
