"Timestamp","How much did you LIKE the previous page? (Be honest!)","How SURPRISING did the statistics feel to you? (regardless if you dis/liked the presentation style)","From 1910–2015, what was the % change in extreme poverty? (if decrease, type negative number)","From 1990–2016, what was the % change in air particle pollution? (if decrease, type negative number)","In 2016, what % of deaths were from homicide + war + terrorism combined?","In 2016, what % of world had at least one mental/substance disorder?","In 2016, what % of deaths were from heart disease?","From 1986–2014, what was the % change in nuclear warheads? (if decrease, type negative number)","From 1990–2016, what was the % change in the suicide death rate? (if decrease, type negative number)","In 2015, what % of people lived in a democracy?","From 1950–2015, what was the % change in the world's fertility rate? (if decrease, type negative number)","From 1959–2016, what was the % change in CO2 emissions? (if decrease, type negative number)","What's your age? (OPTIONAL)","What's your gender? (OPTIONAL)","What's the highest level of academic schooling you've completed so far? (OPTIONAL)"
"2019/01/10 11:13:00 AM EST","7","3","-88","15","1","15","33","-80","-33","58","-50","33","27","Male","4-year college degree (Bachelor's)"
"2019/01/10 11:32:59 AM EST","4","5","-30","30","1","14","10","-50","-5","51","-30","10","18","Male","High school/Secondary school/GED"
"2019/01/10 11:33:55 AM EST","3","3","-85","20","3","35","36","-86","100","50","-30","300","21","Male","High school/Secondary school/GED"
"2019/01/10 11:34:50 AM EST","7","3","-88","30","1","15","30","-88","-33","56","-51","300","45","Male","4-year college degree (Bachelor's)"
"2019/01/10 11:35:08 AM EST","7","7","-86","32","1","26","32","-36","16","56","-17","40","17","Male",""
"2019/01/10 11:35:25 AM EST","5","4","-50","20","1","40","30","-66","-30","60","-40","20","25","Male","4-year college degree (Bachelor's)"
"2019/01/10 11:35:48 AM EST","7","5","-80","-20","1","20","60","-84","-40","80","-30","-60","38","","High school/Secondary school/GED"
"2019/01/10 11:35:49 AM EST","6","3","-50","300","1","15","15","85","-30","56","-15","300","32","F","PhD or other advanced professional degree"
"2019/01/10 11:35:57 AM EST","8","6","-88","25","1","15","32","94","-33","56","-52","302","17","Other","Grade school/Primary school"
"2019/01/10 11:36:26 AM EST","3","6","88","25","1","15","32","88","55","53","-50","302","23","Demimale","4-year college degree (Bachelor's)"
"2019/01/10 11:36:37 AM EST","7","7","-88","302","1","15","20","-17","-20","50","-50","302","19","male","High school/Secondary school/GED"
"2019/01/10 11:36:52 AM EST","6","7","-88","300","1","15","33","-90","-33","55","-50","300","25","male","4-year college degree (Bachelor's)"
"2019/01/10 11:36:56 AM EST","7","9","-83","25","3","16","34","84","-34","52","-15","302","17","Male","High school/Secondary school/GED"
"2019/01/10 11:37:04 AM EST","3","3","-89","10","1","15","30","-49","-15","56","-50","302","41","M","Master's degree"
"2019/01/10 11:37:08 AM EST","3","6","-85","35","1","15","35","-60","-20","56","20","32","20","she/her","High school/Secondary school/GED"
"2019/01/10 11:37:09 AM EST","4","6","-83","52","1","33","32","-10","10","56","-52","50","26","male","PhD or other advanced professional degree"
"2019/01/10 11:37:19 AM EST","7","6","-38","35","1","15","38","-35","-86","56","-51","302","28","female","4-year college degree (Bachelor's)"
"2019/01/10 11:37:26 AM EST","6","3","","300","1","20","30","-80","-30","50","-50","300","31","male","Master's degree"
"2019/01/10 11:37:53 AM EST","7","2","-38","40","1","8","26","-83","-32","58","-40","60","36","male","Grade school/Primary school"
"2019/01/10 11:37:59 AM EST","7","7","-90","15","1","15","32","-84","-33","54","-50","300","21","Male","High school/Secondary school/GED"
"2019/01/10 11:38:06 AM EST","7","3","-70","300","1","32","30","-500","-30","45","-18","30","22","male","4-year college degree (Bachelor's)"
"2019/01/10 11:38:17 AM EST","9","8","-32","325","1","15","33","-82","-20","52","-46","302","40","male","4-year college degree (Bachelor's)"
"2019/01/10 11:38:38 AM EST","7","2","-86","25","1","15","32","-86","-33","51","-51","302","36","male","Master's degree"
"2019/01/10 11:38:48 AM EST","8","5","-88","50","1","15","33","80","-30","56","-51","302","","",""
"2019/01/10 11:38:51 AM EST","7","3","-85","25","1","15","33","-85","0","52","0","302","32","male","4-year college degree (Bachelor's)"
"2019/01/10 11:39:11 AM EST","4","2","-300","","1","","20","-84","-3","56","-25","","32","Male","PhD or other advanced professional degree"
"2019/01/10 11:39:36 AM EST","5","3","-80","100","1","10","36","-30","15","55","-50","300","23","Male","4-year college degree (Bachelor's)"
"2019/01/10 11:39:45 AM EST","6","5","-70","25","1","20","27","-70","-25","56","-50","402","17","men","High school/Secondary school/GED"
"2019/01/10 11:40:13 AM EST","5","4","30","20","1","15","31","-82","30","56","-51","302","34","M","Master's degree"
"2019/01/10 11:42:06 AM EST","5","2","-80","300","1","15","50","-84","-30","55","","150","20","male","High school/Secondary school/GED"
"2019/01/10 11:42:32 AM EST","10","10","88","85","1","15","35","-75","33","35","-50","300","24","Male","4-year college degree (Bachelor's)"
"2019/01/10 11:43:05 AM EST","4","6","88","25","1","14","32","-84","-50","56","-51","302","37","Male","Master's degree"
"2019/01/10 11:43:13 AM EST","6","7","-80","-30","5","20","60","-60","10","50","-50","300","24","male","4-year college degree (Bachelor's)"
"2019/01/10 11:43:17 AM EST","8","6","-88","20","1","15","34","-60","-50","70","-50","302","37","Male","PhD or other advanced professional degree"
"2019/01/10 11:43:30 AM EST","7","7","-45","5","1","30","32","-80","33","55","-30","5","21","male","4-year college degree (Bachelor's)"
"2019/01/10 11:44:12 AM EST","9","4","-84","25","1","15","33","-84","","58","-50","302","27","Man","Master's degree"
"2019/01/10 11:45:16 AM EST","3","1","20","","1","","","-60","","20","-51","306","39","female","PhD or other advanced professional degree"
"2019/01/10 11:45:43 AM EST","6","1","80","150","1","20","30","60","30","50","40","300","21","Guy","Grade school/Primary school"
"2019/01/10 11:46:32 AM EST","4","2","-88","88","1","5","3","","","56","-51","308","20","F","High school/Secondary school/GED"
"2019/01/10 11:46:33 AM EST","7","2","-30","20","1","15","15","-70","-20","56","-30","30","24","Male","High school/Secondary school/GED"
"2019/01/10 11:46:56 AM EST","4","2","-80","306","1","15","","-84","-30","56","51","25","29","N/A","Master's degree"
"2019/01/10 11:47:31 AM EST","6","8","-88","32","1","15","30","-82","-30","56","-52","30","23","male","4-year college degree (Bachelor's)"
"2019/01/10 11:47:49 AM EST","3","9","-82","18","1","18","32","-82","-31","56","-2","302","43","M","Master's degree"
"2019/01/10 11:48:33 AM EST","9","7","-88","25","1","15","32","-88","-15","56","-50","302","36","Male","PhD or other advanced professional degree"
"2019/01/10 11:48:50 AM EST","8","6","-88","25","1","34","34","-84","-33","56","-25","302","29","Male","Master's degree"
"2019/01/10 11:48:54 AM EST","8","4","-85","25","1","15","33","-75","-33","51","-51","304","24","Male","4-year college degree (Bachelor's)"
"2019/01/10 11:51:39 AM EST","5","7","","","1","15","","","","","","","","",""
"2019/01/10 11:52:15 AM EST","3","7","-50","30","1","15","30","-84","15","56","-50","22","40","male","Master's degree"
"2019/01/10 11:53:48 AM EST","8","7","-88","25","1","15","10","-80","-30","56","-52","300","32","Male","Master's degree"
