"Timestamp","How much did you LIKE the previous page? (Be honest!)","How SURPRISING did the statistics feel to you? (regardless if you dis/liked the presentation style)","From 1910–2015, what was the % change in extreme poverty? (if decrease, type negative number)","From 1990–2016, what was the % change in air particle pollution? (if decrease, type negative number)","In 2016, what % of deaths were from homicide + war + terrorism combined?","In 2016, what % of world had at least one mental/substance disorder?","In 2016, what % of deaths were from heart disease?","From 1986–2014, what was the % change in nuclear warheads? (if decrease, type negative number)","From 1990–2016, what was the % change in the suicide death rate? (if decrease, type negative number)","In 2015, what % of people lived in a democracy?","From 1950–2015, what was the % change in the world's fertility rate? (if decrease, type negative number)","From 1959–2016, what was the % change in CO2 emissions? (if decrease, type negative number)","What's your age? (OPTIONAL)","What's your gender? (OPTIONAL)","What's the highest level of academic schooling you've completed so far? (OPTIONAL)"
"2019/01/10 11:29:32 AM EST","9","3","-80","25","1","15","30","-80","-33","56","-30","305","22","","Master's degree"
"2019/01/10 11:34:06 AM EST","8","8","-88","45","1","15","25","-84","40","56","-50","302","29","agender","4-year college degree (Bachelor's)"
"2019/01/10 11:36:37 AM EST","7","4","-70","20","1","15","30","-80","-40","60","-80","300","26","male","Master's degree"
"2019/01/10 11:36:38 AM EST","8","3","-80","100","1","15","23","-60","-40","55","-60","300","37","male","4-year college degree (Bachelor's)"
"2019/01/10 11:36:48 AM EST","4","6","-30","150","1","15","15","-84","-40","51","-51","150","26","Male","High school/Secondary school/GED"
"2019/01/10 11:36:48 AM EST","6","7","-30","25","1","15","32","-80","-36","52","-32","302","27","m","High school/Secondary school/GED"
"2019/01/10 11:37:46 AM EST","6","8","-88","20","1","15","30","-88","-50","75","-50","300","24","Male","High school/Secondary school/GED"
"2019/01/10 11:38:16 AM EST","8","8","-70","25","10","15","13","-70","-50","50","-50","25","14","Male","Grade school/Primary school"
"2019/01/10 11:38:49 AM EST","10","5","-80","25","1","15","30","-80","-50","51","-80","300","26","Male","4-year college degree (Bachelor's)"
"2019/01/10 11:39:11 AM EST","9","4","-80","25","1","15","30","-50","-20","80","-50","300","31","Male","Master's degree"
"2019/01/10 11:39:23 AM EST","8","7","-88","15","1","15","40","-84","70","56","-50","302","20","Agender","High school/Secondary school/GED"
"2019/01/10 11:40:12 AM EST","6","8","-90","30","1","22","25","-70","12","54","-50","300","31","Male","Master's degree"
"2019/01/10 11:40:13 AM EST","8","8","-90","50","1","35","15","-59","-80","53","-53","307","16","Male","High school/Secondary school/GED"
"2019/01/10 11:40:13 AM EST","7","3","-80","30","2","10","40","-70","-20","56","-30","+400","24","Xir","4-year college degree (Bachelor's)"
"2019/01/10 11:40:33 AM EST","7","6","-10","50","2","15","34","-300","-15","34","-28","600","29","Female","4-year college degree (Bachelor's)"
"2019/01/10 11:40:38 AM EST","10","3","36","56","1","15","32","84","-15","56","-64","302","16","Female","Grade school/Primary school"
"2019/01/10 11:40:51 AM EST","7","7","-40","-56","1","15","25","-84","-45","56","-55","302","37","male","Master's degree"
"2019/01/10 11:41:07 AM EST","7","8","-15","302","1","15","10","-88","-15","62","-15","302","27","Male","Master's degree"
"2019/01/10 11:41:21 AM EST","7","7","-80","25","1","15","32","-60","-33","55","-25","303","22","male","4-year college degree (Bachelor's)"
"2019/01/10 11:41:37 AM EST","4","7","-88","32","1","15","32","-20","-25","56","-15","168","40","m","PhD or other advanced professional degree"
"2019/01/10 11:41:46 AM EST","6","4","-88","-54","1","10","32","-84","11","53","-48","115","","","4-year college degree (Bachelor's)"
"2019/01/10 11:42:31 AM EST","8","6","-30","15","1","15","33","-33","-15","25","-34","408","27","female","Master's degree"
"2019/01/10 11:43:00 AM EST","7","8","-88","-50","1","16","-36","-84","-33","56","-20","302","30","Female","4-year college degree (Bachelor's)"
"2019/01/10 11:44:23 AM EST","8","2","-59","88","1","15","33","-88","-33","59","-60","300","21","male","4-year college degree (Bachelor's)"
"2019/01/10 11:44:38 AM EST","8","7","-80","+25","1","15","25","-80","-33","56","-32","302","25","M","Master's degree"
"2019/01/10 11:44:50 AM EST","8","8","-40","25","1","15","33","-86","-80","56","-80","32","17","Male","High school/Secondary school/GED"
"2019/01/10 11:46:54 AM EST","10","6","-50","33","1","15","33","-84","-30","56","-30","300","22","Male","High school/Secondary school/GED"
"2019/01/10 11:48:18 AM EST","9","7","-80","-85","1","10","55","-80","-33","60","-80","303","36","Male","PhD or other advanced professional degree"
"2019/01/10 11:48:36 AM EST","10","6","-50","25","1","5","30","-50","15","60","-50","+300","23","Male","Master's degree"
"2019/01/10 11:48:55 AM EST","7","3","-88","50","1","15","31","-40","-40","55","-40","300","20","male","High school/Secondary school/GED"
"2019/01/10 11:49:11 AM EST","6","6","-50","300","1","21","51","-80","-50","50","-50","300","33","Male","2-year college degree (Associate's)"
"2019/01/10 11:49:42 AM EST","7","8","-70","30","1","15","60","-80","-70","56","-30","300","33","","PhD or other advanced professional degree"
"2019/01/10 11:49:47 AM EST","8","6","-80","20","1","20","30","-80","-33","40","-50","400","26","Male","4-year college degree (Bachelor's)"
"2019/01/10 11:49:48 AM EST","5","6","-82","-20","1","15","32","-84","-20","56","-60","302","28","Male","Master's degree"
"2019/01/10 11:49:48 AM EST","3","7","-86","19","1","15","32","-86","-53","58","-56","895","26","Male","2-year college degree (Associate's)"
"2019/01/10 11:49:51 AM EST","6","8","-80","-80","1","15","35","-80","-20","56","-20","-85","19","female","2-year college degree (Associate's)"
"2019/01/10 11:50:15 AM EST","9","7","-86","25","1","10","12","-80","-49","70","40","23","14","Male","Grade school/Primary school"
"2019/01/10 11:50:25 AM EST","10","7","-80","32","1","15","15","-88","-50","55","-55","302","29","Male","High school/Secondary school/GED"
"2019/01/10 11:50:27 AM EST","4","7","-88","50","1","15","60","-86","-25","0","-50","302","30","Male","High school/Secondary school/GED"
"2019/01/10 11:51:22 AM EST","9","5","-70","40","1","15","16","-84","-86","67","-20","100","30","male","4-year college degree (Bachelor's)"
"2019/01/10 11:51:54 AM EST","9","7","-70","40","1","15","33","-88","-50","56","-50","320","26","Male","Master's degree"
"2019/01/10 11:53:02 AM EST","6","8","-40","20","1","18","35","-83","-40","73","-50","300","37","male","PhD or other advanced professional degree"
"2019/01/10 11:53:44 AM EST","5","5","-88","25","1","15","20","-50","-50","80","-50","250","","",""
"2019/01/10 11:54:06 AM EST","1","5","79","30","1","15","30","-80","-60","56","-50","25","29","Male","4-year college degree (Bachelor's)"
"2019/01/10 11:54:38 AM EST","7","6","-88","25","1","15","33","-84","-20","52","-51","302","20","Male","High school/Secondary school/GED"
"2019/01/10 11:54:59 AM EST","8","3","-90","50","0.70","15","30","-50","-20","51","-50","300","","M","2-year college degree (Associate's)"
"2019/01/10 11:55:05 AM EST","8","4","-88","30","1","15","25","-84","-30","58","-51","350","","","High school/Secondary school/GED"
"2019/01/10 11:55:22 AM EST","10","5","-82","60","1","25","30","-62","-60","52","-52","332","31","female","4-year college degree (Bachelor's)"
"2019/01/10 11:56:13 AM EST","7","7","-88","+25","1","15","30","-58","-33","53","-54","+302","29","male","PhD or other advanced professional degree"
"2019/01/10 11:58:04 AM EST","4","7","-85","25","1","15","10","-50","-15","50","-30","304","33","M","Master's degree"
"2019/01/10 11:58:16 AM EST","6","5","-80","","1","15","15","-80","30","50","-20","50","27","Male","Master's degree"
"2019/01/10 11:58:32 AM EST","7","8","-88","88","1","21","22","-88","-50","56","-58","302","42","Female","2-year college degree (Associate's)"
"2019/01/10 11:59:57 AM EST","3","7","-88","0000","1","15","30","-80","-40","56","40","300","24","Woman","4-year college degree (Bachelor's)"
"2019/01/10 12:00:07 PM EST","8","4","-80","30","1","15","15","-80","-30","55","-50","300","24","Male-ish","Master's degree"
"2019/01/10 12:00:42 PM EST","8","6","-90","25","1","20","25","-85","-50","65","-50","300","","","None / Don't know / Rather not say"
"2019/01/10 12:00:44 PM EST","10","4","","","","","","","","","","","26","male","Master's degree"
"2019/01/10 12:01:29 PM EST","5","6","-88","25","1","15","36","-33","-33","56","-51","25","33","Male","High school/Secondary school/GED"
"2019/01/10 12:03:20 PM EST","1","3","-80","300","1","15","30","-80","-30","55","-50","500","41","","2-year college degree (Associate's)"
"2019/01/10 12:03:37 PM EST","10","7","-17","300","1","15","20","-84","-40","70","-50","280","19","Female","High school/Secondary school/GED"
"2019/01/10 12:03:38 PM EST","3","7","-88","50","1","15","30","-80","-33","55","-50","300","32","male","Master's degree"
"2019/01/10 12:04:01 PM EST","6","4","-56","50","1","15","15","-88","-88","56","-32","300","69","male","4-year college degree (Bachelor's)"
"2019/01/10 12:04:10 PM EST","8","7","80","25","1","12","36","55","30","56","50","306","18","Male","2-year college degree (Associate's)"
"2019/01/10 12:05:44 PM EST","2","4","-88","25","1","15","30","-60","-20","80","-45","307","18","male","High school/Secondary school/GED"
"2019/01/10 12:05:46 PM EST","5","5","-80","20","1","14","32","-82","-40","25","-80","302","28","M","4-year college degree (Bachelor's)"
"2019/01/10 12:06:00 PM EST","6","8","-60","30","1","11","30","-60","20","56","-30","50","23","F","4-year college degree (Bachelor's)"
"2019/01/10 12:07:37 PM EST","8","9","88","200","1","34","32","-88","-32","52","-50","302","24","Male (Questioning)","4-year college degree (Bachelor's)"
"2019/01/10 12:10:20 PM EST","6","3","-80","30","1","32","32.6","-80","-40","56","-30","320","28","Male","4-year college degree (Bachelor's)"
"2019/01/10 12:10:33 PM EST","7","4","-68","+30","1","-15","12","-33","-44","56","-33","302","32","male","Master's degree"
"2019/01/10 12:14:17 PM EST","6","4","-88","-40","1","15","32","-88","-32","56","-80","302","40","Male","4-year college degree (Bachelor's)"
"2019/01/10 12:14:49 PM EST","6","6","-85","21","1","15","34","-88","-40","40","-50","302","36","male","Master's degree"
"2019/01/10 12:16:23 PM EST","10","9","-78","32","1","15","32","-85","-33","56","-88","302","25","Female","Master's degree"
"2019/01/10 12:17:06 PM EST","5","8","-88","90","1","15","32","-40","-80","56","-80","88","31","Female","4-year college degree (Bachelor's)"
"2019/01/10 12:17:07 PM EST","6","8","-50","-80","1","19","32","-50","-18","52","-50","302","47","Male","Master's degree"
"2019/01/10 12:18:48 PM EST","10","10","-88","302","1","15","32","-86","-33","56","-55","-88","23","female","Master's degree"
"2019/01/10 12:18:50 PM EST","7","7","-80","-25","1","15","15","-80","-60","56","-50","350","17","Nonbinary","High school/Secondary school/GED"
"2019/01/10 12:18:58 PM EST","8","3","-90","56","1","20","40","-86","-36","56","-60","36","26","M","4-year college degree (Bachelor's)"
"2019/01/10 12:19:44 PM EST","6","7","-50","100","1","15","20","-80","-15","67","-50","+300","31","Male","Master's degree"
"2019/01/10 12:20:12 PM EST","7","8","-81","30","1","15","31","-84","-30","83","-50","80","18","Male","High school/Secondary school/GED"
"2019/01/10 12:21:53 PM EST","5","5","-88","100","1","15","39","-88","-33","56","-50","300","32","","4-year college degree (Bachelor's)"
"2019/01/10 12:22:37 PM EST","10","2","-90","-25","1","30","34","-80","-40","68","-60","300","27","man","4-year college degree (Bachelor's)"
"2019/01/10 12:22:59 PM EST","8","7","-75","20","1","20","70","-60","-20","56","-15","300","22","Non-binary","4-year college degree (Bachelor's)"
"2019/01/10 12:23:12 PM EST","6","3","-66","50","1","10","30","40","20","56","-50","300","49","Female","4-year college degree (Bachelor's)"
"2019/01/10 12:23:16 PM EST","8","5","-80","100","1","15","30","-80","-30","56","-50","300","25","Male","Master's degree"
"2019/01/10 12:26:06 PM EST","10","3","-88","-30","1","15","35","-80","-30","56","-51","+303","36","female","PhD or other advanced professional degree"
"2019/01/10 12:26:44 PM EST","5","6","-88","25","1","15","15","-80","-15","56","-25","50","42","Male","4-year college degree (Bachelor's)"
"2019/01/10 12:27:48 PM EST","8","5","-86","25","1","19","32","-84","-30","56","-51","302","20","Male","High school/Secondary school/GED"
